 ,State,Year,Yield_rice,Yield_wheat,Yield_sugarcane,Yield_cotton,Yield_oilseeds,Yield_pulses,npk,rain_Jan,rain_Feb,rain_Mar,rain_Apr,rain_May,rain_Jun,rain_Jul,rain_Aug,rain_Sep,rain_Oct,rain_Nov,rain_Dec,cc_Jan,cc_Feb,cc_Mar,cc_Apr,cc_May,cc_Jun,cc_Jul,cc_Aug,cc_Sep,cc_Oct,cc_Nov,cc_Dec,max_temp_Jan,max_temp_Feb,max_temp_Mar,max_temp_Apr,max_temp_May,max_temp_Jun,max_temp_Jul,max_temp_Aug,max_temp_Sep,max_temp_Oct,max_temp_Nov,max_temp_Dec,min_temp_Jan,min_temp_Feb,min_temp_Mar,min_temp_Apr,min_temp_May,min_temp_Jun,min_temp_Jul,min_temp_Aug,min_temp_Sep,min_temp_Oct,min_temp_Nov,min_temp_Dec
0,BIHAR,1990,1218,1812,52490,283,617,779,56.9,0.0680909090909091,21.193242424242424,9.745848484848484,12.082424242424242,93.67769696969697,157.11827272727277,316.84672727272726,246.8707575757576,227.6314242424242,80.95533333333333,0.5079696969696971,0.2582727272727273,24.814756756756765,36.729621621621625,40.224405405405406,34.01075675675676,44.46018918918918,62.779540540540545,77.13175675675673,71.59059459459459,64.08527027027026,42.258675675675676,23.532729729729727,28.365216216216222,24.33819444444445,25.811861111111106,30.451972222222228,36.56008333333333,36.594972222222225,36.712833333333336,32.01569444444444,32.00358333333334,32.35194444444445,31.16072222222222,29.868305555555555,24.98216666666667,9.339166666666667,12.721611111111107,15.983333333333327,22.7275,23.96947222222222,26.18838888888888,25.218277777777768,25.776222222222234,25.65247222222223,20.766500000000004,15.070111111111109,11.068333333333335
1,BIHAR,1991,932,1811,48838,255,723,785,57.9,17.654424242424238,3.705030303030304,24.06678787878788,11.616424242424245,29.531151515151514,108.0138787878788,185.72706060606063,449.68554545454543,177.4612424242424,30.72218181818181,1.0232727272727271,8.558303030303028,23.941378378378378,26.019378378378388,31.37651351351352,27.44881081081081,38.31194594594596,60.87005405405405,74.33954054054054,70.46454054054054,60.372297297297294,37.49959459459459,23.203000000000003,25.36789189189189,23.66308333333333,27.613,32.85377777777778,36.853694444444436,39.35738888888889,35.42086111111111,33.19125,31.736472222222208,32.460527777777784,31.902666666666665,28.440666666666655,24.349638888888887,9.322416666666667,12.751749999999998,16.69397222222222,21.24177777777778,25.607055555555558,24.88583333333333,25.860861111111113,24.90591666666667,24.58780555555556,21.429916666666664,14.647444444444439,9.85475
2,BIHAR,1992,806,1747,45384,170,564,708,56.8,17.558484848484845,4.8839696969696975,1.803636363636364,8.006666666666668,30.710787878787876,45.24403030303031,244.6678787878788,186.20278787878783,129.3349696969697,54.321999999999996,1.9504545454545452,0.08445454545454542,24.34586486486487,26.007351351351343,31.16140540540541,27.38097297297298,38.035189189189204,60.61143243243243,74.33954054054054,70.46454054054054,60.372297297297294,37.689108108108115,23.203000000000003,25.16567567567568,22.418055555555554,24.624972222222233,33.80902777777778,37.91838888888889,37.36802777777777,36.52761111111111,33.20597222222221,32.06777777777777,32.78491666666667,32.19886111111112,29.13327777777778,24.591777777777768,8.100222222222222,9.75622222222222,17.648694444444445,22.309055555555553,23.600750000000005,26.007277777777773,25.881,25.249861111111112,24.917805555555557,21.71469444444445,15.33305555555556,10.113055555555553
3,BIHAR,1993,1295,2105,36680,170,623,739,57.7,14.73739393939394,1.2496666666666667,13.150757575757575,11.28233333333333,48.3799090909091,71.55654545454544,126.59993939393938,213.68115151515147,277.53860606060607,69.41075757575759,2.2872121212121206,0.0,24.34586486486487,25.646756756756762,31.16140540540541,27.38097297297298,38.31194594594596,60.78910810810813,74.33954054054054,70.46454054054054,60.372297297297294,37.49959459459459,23.203000000000003,25.35700000000001,24.316722222222218,28.40813888888889,31.76402777777778,36.473333333333336,38.460638888888894,37.131861111111114,33.63758333333334,31.85375,32.32002777777777,32.37430555555555,28.688111111111112,25.306361111111112,9.988944444444446,13.537583333333332,15.620388888888884,20.867,24.714055555555554,26.62033333333333,26.307999999999996,25.030638888888888,24.446388888888887,21.900361111111106,14.880083333333335,10.812444444444445
4,BIHAR,1994,1297,2064,45968,425,630,823,69.8,58.82400000000001,18.46181818181818,20.25112121212121,20.93136363636364,20.994696969696967,107.5502121212121,236.24118181818187,309.06239393939387,74.16433333333333,108.27524242424244,2.7525757575757583,0.05424242424242425,24.34586486486487,25.646756756756762,31.16140540540541,27.38097297297298,38.31194594594596,60.78910810810813,74.33954054054054,70.46454054054054,60.372297297297294,37.49959459459459,23.203000000000003,25.35700000000001,24.76922222222223,26.12658333333333,33.63202777777778,36.666166666666655,38.96922222222224,36.80133333333333,32.90705555555555,31.959138888888887,32.676805555555546,31.913222222222235,29.023194444444453,24.74636111111111,10.439555555555557,11.260444444444447,17.468000000000004,21.05113888888889,25.20980555555556,26.26858333333334,25.572944444444452,25.13083333333333,24.802777777777774,21.44747222222223,15.231666666666662,10.263
5,BIHAR,1995,1318,1986,43843,-,633,608,73.9,19.497848484848486,19.629727272727283,14.890060606060604,6.058818181818182,32.275454545454544,57.87293939393938,211.44948484848481,245.3621212121212,223.33415151515155,13.584242424242422,19.63869696969697,1.6167878787878789,24.34586486486487,25.646756756756762,31.16140540540541,27.38097297297298,38.31194594594596,60.78910810810813,74.33954054054054,70.46454054054054,60.372297297297294,38.424162162162155,24.62581081081081,26.695432432432426,22.07316666666667,28.03116666666667,32.261222222222216,37.4586388888889,39.277305555555536,37.64911111111111,32.59188888888889,31.42855555555556,32.43163888888889,31.94758333333333,29.028138888888893,25.59361111111112,7.751944444444446,13.130777777777778,16.489361111111116,21.68922222222222,25.500555555555554,27.132972222222214,25.456166666666668,25.109166666666663,24.702083333333334,21.626638888888888,15.701888888888886,11.11641666666667
6,BIHAR,1996,656,2183,45081,-,659,801,80.6,25.02366666666667,12.497969696969696,2.2652727272727278,10.406696969696966,25.84309090909091,86.0020303030303,194.39757575757568,325.4147575757576,148.89887878787874,139.3151818181818,0.0026363636363636363,0.0019393939393939393,20.206729729729727,25.05983783783784,61.400189189189184,19.571162162162164,35.03497297297297,61.544432432432444,72.17121621621622,70.31732432432433,56.56689189189188,39.23643243243243,11.687594594594595,25.957594594594593,23.614916666666666,26.41158333333333,32.98705555555557,36.43188888888887,38.75383333333335,35.649722222222216,32.41663888888889,30.956555555555557,32.787138888888876,31.89891666666666,29.757388888888887,25.465222222222227,9.883166666666666,11.533583333333334,18.26563888888888,20.892,25.78463888888889,25.11105555555555,25.58319444444445,24.513777777777783,25.412472222222235,21.338861111111108,15.01391666666667,10.555722222222224
7,BIHAR,1997,1395,2337,45925,-,750,727,85.9,18.091757575757576,9.695696969696971,6.784909090909092,9.956696969696967,95.6142424242424,77.84515151515151,190.9573333333333,318.9279696969696,165.68187878787882,48.31693939393939,24.41845454545455,10.541121212121212,22.385270270270272,20.60048648648648,27.247459459459467,27.66989189189189,33.03840540540541,47.456081081081095,76.21743243243242,63.82359459459461,63.970351351351354,35.73672972972973,18.79886486486486,37.4098918918919,22.587472222222218,25.53952777777778,32.41433333333334,36.70488888888889,37.82191666666667,37.35544444444444,32.85077777777778,32.20986111111111,31.6973888888889,31.06983333333333,29.00333333333333,24.48905555555555,8.981722222222222,10.666805555555555,17.193555555555555,21.200861111111106,24.315499999999997,26.851194444444445,25.92505555555556,25.48988888888889,24.184055555555553,20.756805555555545,15.597083333333329,11.044194444444445
8,BIHAR,1998,1331,2076,47718,-,815,887,88.3,4.8728181818181815,18.13493939393939,8.629121212121214,15.077151515151515,96.1648181818182,43.59715151515151,203.15936363636365,276.59478787878794,178.51118181818188,171.9657878787878,18.885060606060605,0.0,24.717243243243235,26.2,24.946567567567573,52.225297297297296,36.187135135135144,53.09289189189189,73.95978378378378,75.59545945945946,59.811378378378365,39.44308108108108,26.604621621621614,27.487513513513512,23.491249999999994,26.75233333333333,30.555861111111113,36.21019444444444,38.338722222222216,38.395611111111116,32.264861111111124,32.03169444444444,32.47188888888889,33.653749999999995,29.267472222222214,25.60088888888889,9.164083333333332,12.864833333333333,15.423888888888895,21.40319444444445,25.14,27.91644444444444,25.604944444444442,26.04997222222222,25.457916666666666,23.79369444444444,16.41263888888889,11.64630555555556
9,GUJARAT,1990,1491,2014,89600,244,776,673,68,0.03133333333333333,2.3751111111111114,0.011166666666666668,0.0,22.39611111111111,69.03455555555556,222.23322222222225,445.65722222222223,130.16827777777777,16.926833333333335,5.505611111111112,13.240555555555556,10.8815,10.718100000000002,19.14545,19.2355,21.5715,45.18674999999999,72.32915,71.86880000000002,49.84595000000001,18.913599999999995,11.4616,10.442249999999998,29.65294736842105,30.08942105263159,32.40921052631579,36.36010526315789,37.71205263157895,35.15268421052631,31.227631578947374,30.015368421052628,31.071421052631568,33.88168421052631,32.186631578947356,29.12768421052632,13.8458,14.11565,16.83015,22.23505,24.962699999999995,25.67575,24.360900000000004,23.5096,22.73295000000001,20.609400000000004,17.3958,13.704050000000002
